cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Female,44,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Female,43,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,46,Driver,NotFatal,Worn,Medium,Full,1,3 Country,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Male,37,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,50,T-Junction,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Rider,Male,21,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Female,52,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,50,Not Divided,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,46,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,1 City,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,28,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,110,Freeway,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Pedestrian,Female,76,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,1 City,2,peak,50,Pedestrian Crossing,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,Traffic Signals
Driver,Female,40,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,70,Cross Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,18,Driver,NotFatal,Worn,Small,Provisional 2,1,2 Metropolitan,4,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Night,Rear End,No Control
Driver,Male,59,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,4,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Male,74,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,4,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Female,60,Driver,NotFatal,Worn,Medium,Full,2,3 Country,2,peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Passenger,Male,68,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,3 Country,2,peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Driver,Male,77,Driver,NotFatal,Worn,Medium,Full,2,3 Country,2,peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Passenger,Female,72,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,3 Country,2,peak,110,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Driver,Male,36,Driver,NotFatal,Worn,Large,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,32,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Male,53,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Male,51,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,41,Driver,NotFatal,Unknown,Small,Disqualified,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,32,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Night,Right Angle,No Control
Driver,Male,26,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,38,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
