cas_type,cas_gender,cas_age,cas_pos_in_veh,fatality,seat_belt,unit_type,lic_type,n_occupants,stat_area,total_units,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
Driver,Female,34,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,41,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,No Control
Driver,Male,39.88915925,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Male,19,Driver,NotFatal,Worn,Small,Provisional 2,1,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,48,Driver,NotFatal,Worn,Small,Full,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,39.88915925,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Male,39.88915925,Rear Seat Middle Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Male,39.88915925,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,39.88915925,Rear Seat Right Passenger,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,39.88915925,Other,NotFatal,NotWorn,Small,NoLicence,6,2 Metropolitan,2,peak,60,Freeway,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,30,Driver,NotFatal,Worn,Small,Full,2,3 Country,2,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Female,23,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Rider,Male,50,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,70,Cross Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,Roundabout
Driver,Male,42,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Night,Right Angle,No Control
Rider,Male,17,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Not Divided,"CURVED, VIEW OPEN",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,23,Driver,NotFatal,Unknown,Small,Provisional 2,1,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Roll Over,No Control
Passenger,Male,40,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,3 Country,1,off-peak,110,Divided Road,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Male,47,Front Seat Left Passenger,NotFatal,NotWorn,Utility,NoLicence,3,2 Metropolitan,2,off-peak,110,Freeway,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,48,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Roundabout
Rider,Female,45,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Roundabout
Rider,Male,52,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Roundabout
Driver,Male,33,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,42,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,4,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,36,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,4,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Female,12,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,5,2 Metropolitan,2,off-peak,80,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Male,17,Front Seat Left Passenger,NotFatal,NotWorn,Utility,NoLicence,2,2 Metropolitan,2,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Driver,Female,16,Driver,NotFatal,Worn,Small,Learners,2,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Traffic Signals
Driver,Female,18,Driver,NotFatal,Worn,Small,Unknown,2,2 Metropolitan,2,off-peak,80,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,17,Driver,NotFatal,Unknown,Small,Provisional 2,1,2 Metropolitan,2,off-peak,100,Freeway,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
Driver,Female,54,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,51,Driver,NotFatal,Worn,Small,Unlicenced,1,3 Country,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,60,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Female,64,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Traffic Signals
Driver,Male,19,Driver,NotFatal,Worn,Small,Provisional 2,2,2 Metropolitan,2,peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Give Way Sign
Driver,Female,35,Driver,NotFatal,NotWorn,Small,Full,1,3 Country,2,peak,100,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,58,Driver,NotFatal,Worn,Medium,Full,1,3 Country,2,peak,100,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,20,Driver,NotFatal,Worn,Small,Provisional 1 ,1,2 Metropolitan,2,peak,80,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Male,55,Driver,NotFatal,Worn,Utility,Full,1,2 Metropolitan,2,off-peak,70,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Female,29,Driver,NotFatal,Worn,Medium,Unknown,2,2 Metropolitan,2,peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,25,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,60,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Rider,Male,48,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Driver,Female,22,Driver,NotFatal,Worn,Small,Unknown,2,3 Country,1,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Female,22,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,3 Country,1,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
Driver,Female,57,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Female,46,Driver,NotFatal,Worn,Medium,Provisional 2,4,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,20,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,4,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,10,Rear Seat Right Passenger,NotFatal,NotWorn,Medium,NoLicence,4,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,8,Rear Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,4,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Male,56,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Female,24,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,52,Driver,NotFatal,Unknown,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Male,80,Driver,NotFatal,Worn,Small,Full,4,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,7,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,4,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,36,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,4,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Male,9,Rear Seat Right Passenger,NotFatal,NotWorn,Small,NoLicence,4,2 Metropolitan,3,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Male,80,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,3,peak,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,22,Driver,NotFatal,Worn,Small,Full,2,1 City,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Passenger,Male,39.88915925,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,1 City,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,25,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,Traffic Signals
Driver,Male,61,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
Rider,Male,20,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,1,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Roll Over,No Control
Driver,Male,17,Driver,NotFatal,Worn,Small,Provisional 1 ,3,3 Country,2,off-peak,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Male,21,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,3 Country,2,off-peak,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Male,17,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,3 Country,2,off-peak,100,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,44,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,45,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,32,Driver,NotFatal,Unknown,Medium,Full,5,2 Metropolitan,2,peak,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Passenger,Female,3,Rear Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,5,2 Metropolitan,2,peak,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Passenger,Female,10,Rear Seat Right Passenger,NotFatal,NotWorn,Medium,NoLicence,5,2 Metropolitan,2,peak,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Passenger,Female,8,Rear Seat Middle Passenger,NotFatal,NotWorn,Medium,NoLicence,5,2 Metropolitan,2,peak,90,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Passenger,Male,39.88915925,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,5,2 Metropolitan,4,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,59,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,4,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,36,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,4,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,41,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Passenger,Male,17,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,2,off-peak,40,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Pedestrian,Female,53,NotApplicable,NotFatal,NotWorn,Pedestrian on Footpath/Carpark,NoLicence,1,2 Metropolitan,4,off-peak,60,T-Junction,Straight road,Bottom of Hill,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
Driver,Female,58,Driver,NotFatal,Unknown,Small,Full,1,3 Country,3,off-peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,20,Driver,NotFatal,Worn,Medium,Learners,2,2 Metropolitan,3,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Passenger,Male,22,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,3,off-peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,54,Driver,NotFatal,NotWorn,Utility,Full,1,3 Country,2,off-peak,100,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Head On,No Control
Passenger,Male,20,Rear Seat Right Passenger,NotFatal,NotWorn,Utility,NoLicence,2,3 Country,3,off-peak,50,Not Divided,"CURVED, VIEW OBSCURED",Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
Rider,Male,19,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Rider,Male,25,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Animal,No Control
Pedestrian,Male,79,NotApplicable,NotFatal,NotWorn,Pedestrian on Footpath/Carpark,NoLicence,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Rider,Male,23,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,1,off-peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Night,Other,Roundabout
Driver,Female,50,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Female,91,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,45,Driver,NotFatal,Unknown,Medium,Unlicenced,1,2 Metropolitan,2,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,24,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,25,Driver,NotFatal,Unknown,Small,Full,2,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,40,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,1,off-peak,100,Freeway,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
Rider,Female,19,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,50,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Night,Head On,No Control
Driver,Male,40,Driver,NotFatal,Unknown,Small,Provisional 1 ,1,3 Country,2,off-peak,100,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Male,37,Driver,NotFatal,Worn,Medium,Full,1,2 Metropolitan,3,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Driver,Female,76,Driver,NotFatal,Worn,Small,Full,2,3 Country,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Female,8,Rear Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,3 Country,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Pedestrian,Male,30,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,1 City,2,peak,50,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Pedestrian,Traffic Signals
Rider,Male,18,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,3 Country,2,off-peak,50,Not Divided,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Head On,No Control
Rider,Male,18,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Male,32,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,40,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Stop Sign
Passenger,Female,40,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,off-peak,40,Cross Road,Straight road,Level,Dry,Not Raining,Night,Right Angle,Stop Sign
Driver,Male,87,Driver,NotFatal,Worn,MCycling,Full,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Night,Rear End,Traffic Signals
Driver,Female,18,Driver,NotFatal,Worn,Small,Provisional 2,1,3 Country,2,peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Rider,Male,32,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,1,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Roll Over,No Control
Rider,Male,46,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,3 Country,2,off-peak,90,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Hit Animal,No Control
Passenger,Female,50,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,4,2 Metropolitan,2,off-peak,50,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,Roundabout
Driver,Female,33,Driver,NotFatal,Unknown,Small,Full,1,3 Country,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Rider,Male,65,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Male,45,Driver,NotFatal,Worn,Small,Full,2,1 City,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,41,Driver,NotFatal,Worn,Small,Provisional 1 ,2,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Head On,No Control
Driver,Female,18,Driver,NotFatal,Worn,Medium,Full,2,2 Metropolitan,2,peak,60,Cross Road,Straight road,Slope,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Male,57,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,80,Not Divided,Straight road,Crest of Hill,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,52,Driver,NotFatal,Worn,Medium,Full,2,3 Country,1,peak,110,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Male,16,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,3 Country,1,peak,110,Divided Road,Straight road,Slope,Dry,Not Raining,Daylight,Roll Over,No Control
Driver,Female,23,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Rider,Male,56,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,1,peak,50,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Roll Over,No Control
Passenger,Female,10,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,3,2 Metropolitan,2,off-peak,80,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Driver,Female,43,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,off-peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Rear End,Traffic Signals
Passenger,Female,12,Rear Seat Right Passenger,NotFatal,NotWorn,Medium,NoLicence,6,2 Metropolitan,2,peak,60,Multiple,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Female,73,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,110,Freeway,Straight road,Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,34,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,3,peak,50,T-Junction,Straight road,Slope,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Female,66,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
Rider,Male,23,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,2,2 Metropolitan,2,off-peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Passenger,Female,22,Passenger of Motorcycle,NotFatal,NotWorn,MCycling,NoLicence,2,2 Metropolitan,2,off-peak,80,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Traffic Signals
Driver,Male,32,Driver,NotFatal,Unknown,Medium,Unknown,1,2 Metropolitan,2,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Parked Vehicle,No Control
Driver,Female,52,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,62,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,5,peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Rider,Male,22,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Cross Road,Straight road,Slope,Dry,Not Raining,Daylight,Right Turn,Give Way Sign
Driver,Male,61,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,70,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Driver,Female,42,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,80,Driver,NotFatal,Worn,Small,Full,1,3 Country,2,peak,110,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
Driver,Male,29,Driver,NotFatal,Worn,Small,Full,1,2 Metropolitan,2,off-peak,60,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Give Way Sign
Driver,Female,81,Driver,Fatal,Worn,Small,Full,1,2 Metropolitan,2,peak,100,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Driver,Male,65,Driver,NotFatal,Worn,Medium,Full,2,2 Metropolitan,2,peak,100,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Passenger,Female,64,Front Seat Left Passenger,NotFatal,NotWorn,Medium,NoLicence,2,2 Metropolitan,2,peak,100,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,Stop Sign
Rider,Male,44,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,1,2 Metropolitan,2,off-peak,60,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,No Control
Driver,Female,80,Driver,NotFatal,Worn,Small,Full,2,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Passenger,Female,68,Front Seat Left Passenger,NotFatal,NotWorn,Small,NoLicence,2,2 Metropolitan,2,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
Pedestrian,Male,92,NotApplicable,NotFatal,NotWorn,Pedestrian on Road,NoLicence,1,2 Metropolitan,2,peak,60,T-Junction,"CURVED, VIEW OPEN",Level,Dry,Not Raining,Daylight,Hit Pedestrian,No Control
Rider,Male,17,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
Passenger,Female,14,Passenger of Motorcycle,NotFatal,NotWorn,MCycling,NoLicence,2,2 Metropolitan,2,peak,50,T-Junction,Straight road,Level,Dry,Not Raining,Daylight,Right Angle,No Control
