"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2018-1112-15/08/2019","02",0,"SA","Motor Cars - Sedan","2017","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Stopped on Carriageway","001","XXXX",,
"2018-1113-15/08/2019","01",0,"SA","OMNIBUS","2011","North West","Male","030","SA","HR","Full","Not Towing","Straight Ahead","070","5109",,
"2018-1113-15/08/2019","02",0,"SA","Utility","2008","North West","Male","045","SA","C ","Full","Not Towing","Straight Ahead","001","5108",,
"2018-1114-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","South West","Male","074","SA","C R ","Full","Not Towing","Left Turn","001","5127",,
"2018-1114-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2014","South West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Swerving","001","XXXX",,
"2018-1115-15/08/2019","01",0,"SA","Station Wagon","2004","South West","Female","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5210",,
"2018-1115-15/08/2019","02",0,"SA","Station Wagon","2011","South West","Male","067","SA","C ","Full","Not Towing","Straight Ahead","001","5214",,
"2018-1116-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","South West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2018-1116-15/08/2019","02",1,"SA","Motor Cars - Sedan","2003","North West","Female","025","SA","C ","Full","Not Towing","Straight Ahead","001","5290",,
"2018-1117-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","North","Female","039","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5158",,
"2018-1117-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2010","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Swerving","001","XXXX",,
"2018-1118-15/08/2019","01",1,"SA","Motor Cycle","2017","North West","Male","016","SA","C RD","Learners","Not Towing","Straight Ahead","001","5112",,
"2018-1118-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","North West","Male","017","SA","C ","Provisional 1 ","Not Towing","Right Turn","001","5115",,
"2018-1119-15/08/2019","01",0,"SA","Station Wagon","2010","North West","Female","034","SA","C ","Full","Not Towing","Straight Ahead","001","5153",,
"2018-1119-15/08/2019","02",0,,"Pedestrian on Road",,"North East","Male","092",,,,,"Walking on Road",,"5070",,
"2018-1120-15/08/2019","01",1,,"Pedal Cycle",,"South West","Male","017",,,,,"Straight Ahead","001","5109","Y",
"2018-1121-15/08/2019","01",0,"SA","Motor Cars - Sedan","2014","East","Unknown","XXX","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5341",,
"2018-1121-15/08/2019","02",0,"UNKNOWN","OMNIBUS","XXXX","East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Left Turn","001","XXXX",,
"2018-1122-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","South West","Female","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5253",,
"2018-1122-15/08/2019","02",0,"SA","Station Wagon","2007","North East","Female","033","UNKNOWN","XX","Unknown","Not Towing","Right Turn","002","5253",,
"2018-1123-15/08/2019","01",0,"SA","Motor Cars - Sedan","2007","South","Female","057","SA","C ","Full","Not Towing","Right Turn","001","5012",,
"2018-1123-15/08/2019","02",0,"SA","Motor Cars - Sedan","2007","South","Female","056","SA","C ","Full","Not Towing","Overtaking - on Right","001","5014",,
"2018-1124-15/08/2019","01",0,"VIC","Motor Cars - Sedan","1994","South","Male","026","UNKNOWN","XX","Unknown","Not Towing","Stopped on Carriageway","001","5023",,
"2018-1124-15/08/2019","02",0,"SA","Motor Cycle","2008","South","Male","030","SA","C R ","Full","Not Towing","Straight Ahead","001","5117",,
"2018-1125-15/08/2019","01",1,"SA","Motor Cars - Sedan","2013","South","Male","037","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5087",,
"2018-1125-15/08/2019","02",0,"SA","Utility","2015","South","Male","037","SA","C R ","Full","Not Towing","Straight Ahead","001","5169",,
"2018-1125-15/08/2019","03",0,"SA","Motor Cars - Sedan","2011","South","Female","027","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5088",,
"2018-1126-15/08/2019","01",0,"SA","Station Wagon","2017","North","Female","043","SA","C ","Full","Not Towing","Stopped on Carriageway","003","5159",,
"2018-1126-15/08/2019","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2000","North","Male","019","SA","HC","Provisional 2","Not Towing","Straight Ahead","001","5118",,
"2018-1127-15/08/2019","01",0,"SA","SEMI TRAILER","2007","North West","Male","033","SA","MC","Full","Trailer","Straight Ahead","001","5107",,
"2018-1127-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","North West","Female","XXX","SA","C ","Full","Not Towing","Straight Ahead","002","5121",,
"2018-1127-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2018-1128-15/08/2019","01",1,"SA","Station Wagon","1998","South East","Male","059","SA","C ","Full","Not Towing","Straight Ahead","004","5174",,
