cas_age,n_occupants,total_units,cas_total,area_speed,cas_type_Driver,cas_type_Passenger,cas_type_Pedestrian,cas_type_Rider,cas_gender_Female,cas_gender_Male,cas_gender_Unknown,cas_pos_in_veh_Back of Enclosed Van,cas_pos_in_veh_Driver,cas_pos_in_veh_Front Seat Left Passenger,cas_pos_in_veh_Front Seat Middle Passenger,cas_pos_in_veh_NotApplicable,cas_pos_in_veh_Other,cas_pos_in_veh_Passenger of Motorcycle,cas_pos_in_veh_Passenger on Multi-Passenger Vehicle,cas_pos_in_veh_Rear Seat Left Passenger,cas_pos_in_veh_Rear Seat Middle Passenger,cas_pos_in_veh_Rear Seat Right Passenger,thrown_out_Not Thrown Out,thrown_out_NotApplicable,thrown_out_Thrown Out,seat_belt_NotWorn,seat_belt_Unknown,seat_belt_Worn,unit_type_Large,unit_type_MCycling,unit_type_Medium,unit_type_Other Defined Special Vehicle,unit_type_PCycling,unit_type_Pedestrian on Footpath/Carpark,unit_type_Pedestrian on Road,unit_type_Small,unit_type_Utility,unit_type_Wheelchair,lic_type_Disqualified,lic_type_Full,lic_type_Learners,lic_type_NoLicence,lic_type_Probationary,lic_type_Provisional 1 ,lic_type_Provisional 2,lic_type_Unknown,lic_type_Unlicenced,unit_movement_Alighted from Parked Vehicle,unit_movement_Crossing with Traffic Signals,unit_movement_Crossing without Control,unit_movement_Entering Private Driveway,unit_movement_Leaving Private Driveway,unit_movement_Left Turn,unit_movement_On Pedestrian Crossing,unit_movement_Other,unit_movement_OtherPedest,unit_movement_Overtaking - on Left,unit_movement_Overtaking - on Right,unit_movement_Parked,unit_movement_Parking - Angle,unit_movement_Parking - Parallel,unit_movement_Pushing or Working on Vehicle,unit_movement_Reversing,unit_movement_Right Turn,unit_movement_Stopped on Carriageway,unit_movement_Straight Ahead,unit_movement_Swerving,unit_movement_U Turn,unit_movement_UnParking - Parallel,unit_movement_Unparking -Angle,unit_movement_Walking on Footpath,unit_movement_Walking on Road,stat_area_1 City,stat_area_2 Metropolitan,stat_area_3 Country,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,time_off-peak,time_peak,acc_pos_Cross Road,acc_pos_Divided Road,acc_pos_Freeway,acc_pos_Multiple,acc_pos_Not Divided,acc_pos_Other,acc_pos_Pedestrian Crossing,acc_pos_T-Junction,"hor_align_CURVED, VIEW OBSCURED","hor_align_CURVED, VIEW OPEN",hor_align_Straight road,hor_align_Unknown,ver_align_Bottom of Hill,ver_align_Crest of Hill,ver_align_Level,ver_align_Slope,ver_align_Unknown,moist_cond_Dry,moist_cond_Unknown,moist_cond_Wet,wea_cond_Not Raining,wea_cond_Raining,wea_cond_Unknown,dayNight_Daylight,dayNight_Night,crash_type_Head On,crash_type_Hit Animal,crash_type_Hit Fixed Object,crash_type_Hit Object on Road,crash_type_Hit Parked Vehicle,crash_type_Hit Pedestrian,crash_type_Left Road - Out of Control,crash_type_Other,crash_type_Rear End,crash_type_Right Angle,crash_type_Right Turn,crash_type_Roll Over,crash_type_Side Swipe,traf_ctrls_Give Way Sign,traf_ctrls_No Control,traf_ctrls_Other,traf_ctrls_Roundabout,traf_ctrls_Stop Sign,traf_ctrls_Traffic Signals,fatality
34.0,1.0,2,1,60,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
41.0,1.0,2,1,60,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
39.889159254908535,1.0,2,1,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19.0,1.0,2,7,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48.0,6.0,2,7,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.889159254908535,6.0,2,7,60,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.889159254908535,6.0,2,7,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.889159254908535,6.0,2,7,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.889159254908535,6.0,2,7,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.889159254908535,6.0,2,7,60,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
