REPORT_ID,UND_UNIT_NUMBER,CASUALTY_NUMBER,cas_type,cas_gender,cas_age,cas_pos_in_veh,thrown_out,fatality,seat_belt,unit_type,lic_type,unit_movement,n_occupants,stat_area,total_units,cas_total,day,time,area_speed,acc_pos,hor_align,ver_align,moist_cond,wea_cond,dayNight,crash_type,traf_ctrls
2018-1281-15/08/2019,1,1,Rider,Male,24.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Overtaking - on Left,1.0,1 City,3,1,Saturday,off-peak,50,Not Divided,Straight road,Level,Dry,Not Raining,Night,Side Swipe,No Control
2018-1282-15/08/2019,1,1,Driver,Male,30.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Unlicenced,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2018-1286-15/08/2019,1,1,Driver,Female,20.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Provisional 1 ,Straight Ahead,2.0,2 Metropolitan,2,1,Sunday,off-peak,50,Not Divided,Straight road,Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2018-1291-15/08/2019,1,1,Driver,Male,19.0,Driver,Not Thrown Out,NotFatal,NotWorn,Small,Full,Straight Ahead,2.0,3 Country,2,2,Saturday,off-peak,80,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2018-1291-15/08/2019,1,2,Passenger,Male,18.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,2.0,3 Country,2,2,Saturday,off-peak,80,Not Divided,Straight road,Level,Dry,Not Raining,Night,Hit Fixed Object,No Control
2018-1292-15/08/2019,1,1,Driver,Male,48.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Stopped on Carriageway,1.0,2 Metropolitan,2,1,Saturday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1293-15/08/2019,1,1,Driver,Female,54.0,Driver,Not Thrown Out,NotFatal,Worn,Medium,Full,Straight Ahead,2.0,3 Country,2,2,Friday,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2018-1293-15/08/2019,1,2,Passenger,Male,57.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Medium,NoLicence,Straight Ahead,2.0,3 Country,2,2,Friday,off-peak,80,Not Divided,"CURVED, VIEW OBSCURED",Slope,Dry,Not Raining,Daylight,Hit Fixed Object,No Control
2018-1295-15/08/2019,1,1,Driver,Male,21.0,Driver,Not Thrown Out,NotFatal,Worn,Small,Provisional 2,Straight Ahead,2.0,2 Metropolitan,4,2,Sunday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1295-15/08/2019,1,2,Passenger,Male,19.0,Front Seat Left Passenger,Not Thrown Out,NotFatal,NotWorn,Small,NoLicence,Straight Ahead,2.0,2 Metropolitan,4,2,Sunday,off-peak,60,Divided Road,Straight road,Level,Dry,Not Raining,Daylight,Rear End,No Control
2018-1299-15/08/2019,2,1,Rider,Male,59.0,NotApplicable,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,2,1,Sunday,off-peak,40,Not Divided,Straight road,Level,Dry,Not Raining,Daylight,Hit Parked Vehicle,No Control
2018-1300-15/08/2019,1,1,Rider,Male,60.0,NotApplicable,NotApplicable,NotFatal,NotWorn,MCycling,NoLicence,Right Turn,1.0,2 Metropolitan,2,1,Sunday,off-peak,60,Cross Road,Straight road,Level,Dry,Not Raining,Daylight,Side Swipe,Traffic Signals
2018-1302-15/08/2019,1,1,Rider,Male,42.0,NotApplicable,NotApplicable,NotFatal,NotWorn,PCycling,NoLicence,Straight Ahead,1.0,2 Metropolitan,1,1,Sunday,peak,60,Not Divided,Straight road,Slope,Dry,Not Raining,Daylight,Roll Over,No Control
